,XGBoost
Train_AIC,366.48029884696007
Train_Accuracy,0.497907949790795
Train_BIC,394.29200726241214
Train_F1-Score,0.3939393939393939
Train_Precision,0.52
Train_ROC_AUC_Score,0.4952340902719372
Train_Recall,0.3170731707317073
