,Logistic
Train_AIC,1375.4827664623567
Train_Accuracy,0.4608433734939759
Train_BIC,1414.7127445230335
Train_F1-Score,0.24259520451339917
Train_Precision,0.5733333333333334
Train_ROC_AUC_Score,0.5510002742720532
Train_Recall,0.15384615384615385
