,ARIMA
Train_AIC,3284.8596936810673
Train_Accuracy,0.5301204819277109
Train_BIC,3319.1859244841594
Train_F1-Score,0.5887521968365553
Train_Precision,0.5785837651122625
Train_Recall,0.5992844364937389
