,LightGBM
Train_AIC,1147.210193566908
Train_Accuracy,0.6485943775100401
Train_BIC,1186.4401716275847
Train_F1-Score,0.5512820512820513
Train_Precision,0.9728506787330317
Train_ROC_AUC_Score,0.8832624456061208
Train_Recall,0.38461538461538464
