,RandomForest
Train_AIC,1287.449578361915
Train_Accuracy,0.5
Train_BIC,1326.6795564225918
Train_F1-Score,0.20447284345047922
Train_Precision,0.9696969696969697
Train_ROC_AUC_Score,0.7873730340760158
Train_Recall,0.11428571428571428
