,XGBoost
Accumulated_Returns_%,-9.12492603184658
Sharpe_Ratio,-1.0449553421897073
Information_Ratio,-0.03710757077516358
Sortino_Ratio,-0.9259188170043404
Maximum_Drawdown,8.268147237059065
Volatility,13.587112163424665
