Date,VOO,^VIX,RSI,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,target
2018-04-20,-0.8130064148131666,5.604384503836712,0.7207650388311609,2.2814655703145448,2.2691435655258108,-8.24106136538365,-5.0054628308458415,-6.018528800463541,-9.043080009052273,-1.1299533018332308,0
2018-04-23,-0.04492494121777213,-3.25133406800302,0.7515148945188995,5.604384503836712,2.2814655703145448,2.2691435655258108,-8.24106136538365,-5.0054628308458415,-6.018528800463541,-9.043080009052273,0
2018-04-24,-1.3732521220379823,9.78661788131201,0.8730791608718543,-3.25133406800302,5.604384503836712,2.2814655703145448,2.2691435655258108,-8.24106136538365,-5.0054628308458415,-6.018528800463541,0
2018-04-25,0.25633431780800464,-1.003914187828503,1.0126603593384202,9.78661788131201,-3.25133406800302,5.604384503836712,2.2814655703145448,2.2691435655258108,-8.24106136538365,-5.0054628308458415,1
2018-04-26,1.022969941340346,-9.396581506517343,1.1331422901159787,-1.003914187828503,9.78661788131201,-3.25133406800302,5.604384503836712,2.2814655703145448,2.2691435655258108,-8.24106136538365,1
2018-04-27,0.10619779317861955,-5.246068120967307,0.7761874799518538,-9.396581506517343,-1.003914187828503,9.78661788131201,-3.25133406800302,5.604384503836712,2.2814655703145448,2.2691435655258108,1
2018-04-30,-0.8199462546329528,3.318750364910672,0.9148663459762516,-5.246068120967307,-9.396581506517343,-1.003914187828503,9.78661788131201,-3.25133406800302,5.604384503836712,2.2814655703145448,0
2018-05-01,0.21385662951960427,-2.800950342658215,0.866200452839989,3.318750364910672,-5.246068120967307,-9.396581506517343,-1.003914187828503,9.78661788131201,-3.25133406800302,5.604384503836712,1
2018-05-02,-0.6842417606062412,3.0517339294898527,0.8372561263118607,-2.800950342658215,3.318750364910672,-5.246068120967307,-9.396581506517343,-1.003914187828503,9.78661788131201,-3.25133406800302,0
2018-05-03,-0.23602836205602884,-0.4392893713193846,0.8564319650567453,3.0517339294898527,-2.800950342658215,3.318750364910672,-5.246068120967307,-9.396581506517343,-1.003914187828503,9.78661788131201,0
2018-05-04,1.3179270213075966,-7.372095769828979,0.9914689767344607,-0.4392893713193846,3.0517339294898527,-2.800950342658215,3.318750364910672,-5.246068120967307,-9.396581506517343,-1.003914187828503,1
2018-05-07,0.31047528232655,-0.13550447502601592,0.9293136743813668,-7.372095769828979,-0.4392893713193846,3.0517339294898527,-2.800950342658215,3.318750364910672,-5.246068120967307,-9.396581506517343,1
2018-05-08,-0.004103892624307548,-0.27155455792149397,1.1834009531933651,-0.13550447502601592,-7.372095769828979,-0.4392893713193846,3.0517339294898527,-2.800950342658215,3.318750364910672,-5.246068120967307,0
2018-05-09,0.9661124298445678,-9.178139997798551,1.4465651995182955,-0.27155455792149397,-0.13550447502601592,-7.372095769828979,-0.4392893713193846,3.0517339294898527,-2.800950342658215,3.318750364910672,1
2018-05-10,0.9328634857655338,-1.4259193702193418,1.3915619642011887,-9.178139997798551,-0.27155455792149397,-0.13550447502601592,-7.372095769828979,-0.4392893713193846,3.0517339294898527,-2.800950342658215,1
2018-05-11,0.24383593199566178,-4.4829758508615924,1.4620121341625167,-1.4259193702193418,-9.178139997798551,-0.27155455792149397,-0.13550447502601592,-7.372095769828979,-0.4392893713193846,3.0517339294898527,1
2018-05-14,0.11174104574811494,2.1893031368095173,1.4188852807721455,-4.4829758508615924,-1.4259193702193418,-9.178139997798551,-0.27155455792149397,-0.13550447502601592,-7.372095769828979,-0.4392893713193846,1
2018-05-15,-0.6883058078511084,12.352400646846418,0.7517038798541068,2.1893031368095173,-4.4829758508615924,-1.4259193702193418,-9.178139997798551,-0.27155455792149397,-0.13550447502601592,-7.372095769828979,0
2018-05-16,0.4247357164228305,-8.632808562575,1.2829853094168289,12.352400646846418,2.1893031368095173,-4.4829758508615924,-1.4259193702193418,-9.178139997798551,-0.27155455792149397,-0.13550447502601592,1
2018-05-17,-0.08399365127358394,0.0744896029956088,1.3074920483807733,-8.632808562575,12.352400646846418,2.1893031368095173,-4.4829758508615924,-1.4259193702193418,-9.178139997798551,-0.27155455792149397,0
2018-05-18,-0.24844204282752358,-0.0744896029956088,1.0874164684215815,0.0744896029956088,-8.632808562575,12.352400646846418,2.1893031368095173,-4.4829758508615924,-1.4259193702193418,-9.178139997798551,0
2018-05-21,0.731501422136116,-2.56617970324462,1.2687471567451898,-0.0744896029956088,0.0744896029956088,-8.632808562575,12.352400646846418,2.1893031368095173,-4.4829758508615924,-1.4259193702193418,1
2018-05-22,-0.28716164630449015,1.0646514426208675,1.2773611984870556,-2.56617970324462,-0.0744896029956088,0.0744896029956088,-8.632808562575,12.352400646846418,2.1893031368095173,-4.4829758508615924,0
2018-05-23,0.31104852278849293,-4.962260941479801,1.1336985027162454,1.0646514426208675,-2.56617970324462,-0.0744896029956088,0.0744896029956088,-8.632808562575,12.352400646846418,2.1893031368095173,1
2018-05-24,-0.19129483798705493,-0.39824976107740717,1.0025621048429756,-4.962260941479801,1.0646514426208675,-2.56617970324462,-0.0744896029956088,0.0744896029956088,-8.632808562575,12.352400646846418,0
2018-05-25,-0.2516485878738983,5.3605107025572085,1.2201821157181996,-0.39824976107740717,-4.962260941479801,1.0646514426208675,-2.56617970324462,-0.0744896029956088,0.0744896029956088,-8.632808562575,0
2018-05-29,-1.1625442525157403,25.26582954184695,1.1838508151830693,5.3605107025572085,-0.39824976107740717,-4.962260941479801,1.0646514426208675,-2.56617970324462,-0.0744896029956088,0.0744896029956088,0
