Unnamed: 0,ANN,Ensemble_Stacking,Ensemble_Voting,LightGBM,Logistic,LSTM,RandomForest,XGBoost
Accuracy,0.4811715481171548,0.4853556485355648,0.4644351464435146,0.4769874476987448,0.4686192468619247,0.5062761506276151,0.4853556485355648,0.5271966527196653
F1-Score,0.4513274336283186,0.0,0.0857142857142857,0.2937853107344633,0.1806451612903226,0.4485981308411215,0.0465116279069767,0.3756906077348066
Precision,0.4951456310679611,0.0,0.3529411764705882,0.4814814814814814,0.4375,0.5274725274725275,0.5,0.5862068965517241
ROC_AUC_Score,0.4481356882534342,0.5189935520044855,0.5120549481356882,0.5147883375385478,0.4776422764227643,0.5171012054948138,0.5037846930193439,0.52004485562097
Recall,0.4146341463414634,0.0,0.048780487804878,0.2113821138211382,0.1138211382113821,0.3902439024390244,0.024390243902439,0.2764227642276423
